28:57.2,68:c4:4d:3a:98:79,-62,raspi1
28:57.2,68:c4:4d:3a:98:79,-62,raspi1
28:57.2,68:c4:4d:3a:98:79,-62,raspi1
28:57.2,68:c4:4d:3a:98:79,-62,raspi1
28:57.2,68:c4:4d:3a:98:79,-62,raspi1
28:57.2,68:c4:4d:3a:98:79,-62,raspi1
28:57.2,68:c4:4d:3a:98:79,-64,raspi1
28:57.3,68:c4:4d:3a:98:79,-62,raspi1
28:57.3,68:c4:4d:3a:98:79,-62,raspi1
28:57.3,68:c4:4d:3a:98:79,-64,raspi1
28:57.3,68:c4:4d:3a:98:79,-68,raspi1
28:57.3,68:c4:4d:3a:98:79,-72,raspi1
28:57.3,68:c4:4d:3a:98:79,-72,raspi1
28:57.3,68:c4:4d:3a:98:79,-72,raspi1
29:02.7,30:84:54:99:b6:d9,-54,raspi1
29:02.7,30:84:54:99:b6:d9,-54,raspi1
29:02.7,30:84:54:99:b6:d9,-58,raspi1
29:02.7,30:84:54:99:b6:d9,-62,raspi1
29:02.7,30:84:54:99:b6:d9,-62,raspi1
29:02.7,30:84:54:99:b6:d9,-60,raspi1
29:02.8,30:84:54:99:b6:d9,-66,raspi1
29:02.8,30:84:54:99:b6:d9,-64,raspi1
29:12.2,68:c4:4d:3a:98:79,-48,raspi1
29:12.2,68:c4:4d:3a:98:79,-50,raspi1
29:12.2,68:c4:4d:3a:98:79,-48,raspi1
29:12.2,68:c4:4d:3a:98:79,-50,raspi1
29:12.2,68:c4:4d:3a:98:79,-50,raspi1
29:12.2,68:c4:4d:3a:98:79,-50,raspi1
29:12.2,68:c4:4d:3a:98:79,-52,raspi1
29:12.2,68:c4:4d:3a:98:79,-48,raspi1
29:12.3,68:c4:4d:3a:98:79,-48,raspi1
29:12.3,68:c4:4d:3a:98:79,-50,raspi1
29:12.3,68:c4:4d:3a:98:79,-46,raspi1
29:12.3,68:c4:4d:3a:98:79,-48,raspi1
29:12.3,68:c4:4d:3a:98:79,-94,raspi1
29:12.3,68:c4:4d:3a:98:79,-52,raspi1
29:12.3,68:c4:4d:3a:98:79,-52,raspi1
29:12.3,68:c4:4d:3a:98:79,-52,raspi1
29:12.3,68:c4:4d:3a:98:79,-52,raspi1
29:12.3,68:c4:4d:3a:98:79,-52,raspi1
29:12.3,68:c4:4d:3a:98:79,-52,raspi1
29:17.7,30:84:54:99:b6:d9,-66,raspi1
29:17.7,30:84:54:99:b6:d9,-66,raspi1
29:17.7,30:84:54:99:b6:d9,-70,raspi1
29:17.7,30:84:54:99:b6:d9,-70,raspi1
29:17.8,30:84:54:99:b6:d9,-70,raspi1
29:17.8,30:84:54:99:b6:d9,-68,raspi1
29:17.8,30:84:54:99:b6:d9,-68,raspi1
29:17.8,30:84:54:99:b6:d9,-66,raspi1
29:17.8,30:84:54:99:b6:d9,-66,raspi1
29:23.6,68:c4:4d:3a:98:79,-58,raspi1
29:23.6,68:c4:4d:3a:98:79,-58,raspi1
29:23.6,68:c4:4d:3a:98:79,-58,raspi1
29:23.6,68:c4:4d:3a:98:79,-58,raspi1
29:23.6,68:c4:4d:3a:98:79,-58,raspi1
29:23.6,68:c4:4d:3a:98:79,-58,raspi1
29:23.6,68:c4:4d:3a:98:79,-58,raspi1
29:23.6,68:c4:4d:3a:98:79,-58,raspi1
29:23.6,68:c4:4d:3a:98:79,-58,raspi1
29:23.6,68:c4:4d:3a:98:79,-58,raspi1
29:23.7,68:c4:4d:3a:98:79,-56,raspi1
29:23.7,68:c4:4d:3a:98:79,-56,raspi1
29:23.7,68:c4:4d:3a:98:79,-56,raspi1
29:23.7,68:c4:4d:3a:98:79,-60,raspi1
29:23.7,68:c4:4d:3a:98:79,-60,raspi1
29:23.7,68:c4:4d:3a:98:79,-60,raspi1
29:23.7,68:c4:4d:3a:98:79,-60,raspi1
29:23.7,68:c4:4d:3a:98:79,-62,raspi1
29:32.7,30:84:54:99:b6:d9,-58,raspi1
29:32.7,30:84:54:99:b6:d9,-58,raspi1
